Company/Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges."
Happy Cow Dairy,"Agriculture, Farming",Seed,5840000,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,9490000,Gurgaon,Leading Online Loans Marketplace in India
PayMe India,"Financial Services, FinTech",Angel,2000000,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,3515000,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly."
Tripshelf,"Internet, Leisure, Marketplace",Seed,2336000,Kalkaji,Tripshelf is an online market place for holiday packages.
Hyperdata.IO,Market Research,Angel,7300000,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.
Freightwalla,"Information Services, Information Technology",Seed,3515000,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.
Microchip Payments,Mobile Payments,Seed,3515000,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,3515000,Delhi,Building Transactionary B2B Marketplaces
Emojifi,Internet,Seed,3515000,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms."
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,3515000,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.
Freshboxx,Food Delivery,Seed,3515000,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation."
Wide Mobility Mechatronics,Industrial Automation,Seed,3515000,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares
Pitstop,"Automotive, Search Engine, Service Industry",Seed,14600000,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.
Mihuru,"Finance, Internet, Travel",Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,3515000,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,73000,Chennai,Waste Management for Smart Cities
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.
PaisaDukan,Financial Services,Seed,650000,Mumbai,A P2P lending marketplace platform
